0.000000 | 5 3 6 | 5 3 6 | 5 3 6 | 5 3 6 | 5 3 6 | 5 3 6 | 5 3 6 | 5 3 6 | 5 3 6 | 5 3 6
0.020000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 3 2 6 | 2 2 2 | 2 3 3 | 3 3 9
0.040000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 3 2 6 | 2 2 2 | 2 3 3 | 3 3 9
0.060000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 3 2 6 | 4 2 2 | 2 3 3 | 3 3 9
0.080000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 3 2 6 | 4 2 2 | 2 3 3 | 3 3 9
0.100000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 3 2 6 | 4 2 2 | 2 3 3 | 3 3 9
0.120000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 3 2 6 | 4 2 2 | 2 3 3 | 3 3 9
0.140000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 3 2 6 | 4 2 2 | 2 3 3 | 3 3 9
0.160000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 3 2 6 | 4 2 2 | 3 1 3 | 3 3 9
0.180000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 3 2 6 | 4 2 2 | 3 1 3 | 3 3 9
0.200000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 3 2 6 | 4 2 2 | 3 1 3 | 3 3 9
0.220000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 3 2 6 | 4 2 2 | 3 1 3 | 3 3 9
0.240000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 3 2 6 | 4 2 2 | 3 1 3 | 3 3 9
0.260000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 3 2 6 | 4 2 2 | 3 1 3 | 3 3 9
0.280000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.300000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.320000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.340000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.360000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.380000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.400000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.420000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.440000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.460000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.480000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.500000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.520000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.540000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.560000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.580000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.600000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.620000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.640000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.660000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.680000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.700000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.720000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.740000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.760000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.780000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.800000 | 5 4 8 | 4 1 1 | 4 2 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.820000 | 5 4 8 | 4 1 1 | 5 1 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.840000 | 5 4 8 | 4 1 1 | 5 1 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 2 2 | 3 1 3 | 3 3 9
0.860000 | 5 4 8 | 4 1 1 | 5 1 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 1 1 | 4 1 1 | 3 3 9
0.880000 | 5 4 8 | 4 1 1 | 5 1 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 1 1 | 4 1 1 | 3 3 9
0.900000 | 5 4 8 | 4 1 1 | 5 1 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 1 1 | 4 1 1 | 3 3 9
0.920000 | 5 4 8 | 4 1 1 | 5 1 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 1 1 | 4 1 1 | 3 3 9
0.940000 | 5 4 8 | 4 1 1 | 5 1 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 1 1 | 4 1 1 | 3 3 9
0.960000 | 5 4 8 | 4 1 1 | 5 1 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 1 1 | 4 1 1 | 3 3 9
0.980000 | 5 4 8 | 4 1 1 | 5 1 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 1 1 | 4 1 1 | 3 3 9
1.000000 | 5 4 8 | 4 1 1 | 5 1 2 | 4 3 3 | 5 2 4 | 1 4 5 | 5 3 6 | 4 1 1 | 4 1 1 | 3 3 9
